n_samples,n_water_only,n_non_water_only,mean_mse_global,median_mse_global,std_mse_global,p90_mse_global,mean_mae_global,median_mae_global,std_mae_global,p90_mae_global,mean_ssim_global,median_ssim_global,std_ssim_global,p90_ssim_global,mean_mse_brain,median_mse_brain,std_mse_brain,p90_mse_brain,mean_mae_brain,median_mae_brain,std_mae_brain,p90_mae_brain,mean_ssim_brain,median_ssim_brain,std_ssim_brain,p90_ssim_brain,mean_peak_abs_err_brain,median_peak_abs_err_brain,std_peak_abs_err_brain,p90_peak_abs_err_brain,mean_peak_rel_err_brain,median_peak_rel_err_brain,std_peak_rel_err_brain,p90_peak_rel_err_brain,mean_peak_loc_err_vox_brain,median_peak_loc_err_vox_brain,std_peak_loc_err_vox_brain,p90_peak_loc_err_vox_brain,mean_peak_loc_err_mm_brain,median_peak_loc_err_mm_brain,std_peak_loc_err_mm_brain,p90_peak_loc_err_mm_brain,mean_dice_focus_brain_thr50,median_dice_focus_brain_thr50,std_dice_focus_brain_thr50,p90_dice_focus_brain_thr50,mean_dice_focus_brain_thr70,median_dice_focus_brain_thr70,std_dice_focus_brain_thr70,p90_dice_focus_brain_thr70,checkpoint,epoch
100,10,90,0.003278114432469,0.0031376631231978,0.0007308997169473,0.0044325312133878,0.0263058394752442,0.0263358419761061,0.0024279533018846,0.0301841335371136,0.7854290717105492,0.7840547219315035,0.0172569266604334,0.8060671135086823,0.0077037107820312,0.0070448447950184,0.0026981644239792,0.011900863982737,0.0519704431295394,0.0499754138290882,0.0079559225807868,0.0627819143235683,0.7725466241676823,0.778582580894074,0.0362360230290577,0.816534809741327,0.1482757541868422,0.1313333511352539,0.0992538401190331,0.2613689661026002,0.0369682200995717,0.0307394569477743,0.0245955843982228,0.066471321301118,2.2070168249722784,1.4142135623730951,3.714262161043018,4.381266618682193,2.2070168249722784,1.4142135623730951,3.714262161043018,4.381266618682193,0.8630643166869757,0.8722737685530391,0.0492654067115534,0.9151517802404276,0.8480993773484651,0.8506463893249936,0.057082755937268,0.9124232339899722,best.pth,297
100,10,90,0.0090734825609251,0.0072994723450392,0.0056893297455935,0.0106654259376228,0.041097490414977,0.0392152592539787,0.0077446259145272,0.0450897473841906,0.6679828137631165,0.6664270171016171,0.0170383337197052,0.6878662003633664,0.0188323283671504,0.0184994749724864,0.0051249310789077,0.0262108957394957,0.0823952732400761,0.0815687589347362,0.0112935891521078,0.0943576283752918,0.6358078300190175,0.6401806818508241,0.0367789060103772,0.678377021092485,0.5009067959255642,0.4461908340454101,0.3299526047566585,0.9214420795440676,0.116183727050732,0.117301306594938,0.069013505540601,0.2009042347126544,2.872672227851621,2.23606797749979,3.565728668588887,5.0990195135927845,2.872672227851621,2.23606797749979,3.565728668588887,5.0990195135927845,0.7483859131708596,0.7527595101597575,0.0767249107865951,0.838607660990119,0.7276289783499448,0.7313554813948695,0.096886280397002,0.8583541189434956,epoch_010.pth,10
100,10,90,0.0073692771885544,0.0064916268456727,0.0030021017492075,0.0097453081049025,0.03773392168805,0.0370620917528867,0.0045824881722845,0.0420614279806614,0.6919576573565628,0.6872023246187076,0.0277860878312901,0.7174172654109352,0.0148283963816033,0.0141732944175601,0.0035748281490034,0.0193823738023638,0.0739767283615138,0.0719008892774581,0.0084955437343839,0.0857503443956375,0.6462765913500109,0.6467966974226695,0.0352528133290797,0.6931143866006108,0.2699840757581923,0.2620937824249267,0.1896814730703496,0.4899448394775393,0.0702585386835466,0.0575741094074522,0.0548241779150109,0.1339389891136057,2.8068606414004638,2.449489742783178,3.314845397062079,4.918983488369,2.8068606414004638,2.449489742783178,3.314845397062079,4.918983488369,0.7582257192657919,0.7553759994372689,0.0651697267740371,0.8342468375824263,0.7278771387267295,0.7317679494154028,0.0906992443368034,0.8606310160283366,epoch_020.pth,20
100,10,90,0.006103254891932,0.0051006181165575,0.0031352189038072,0.0076475494075567,0.0350884630158543,0.0336675010621547,0.0059975486313422,0.0386576227843762,0.7084820417697161,0.7054844642733511,0.0188396087012686,0.7337326048133901,0.011011022536291,0.0104490192607045,0.0029566983055934,0.0152610434219241,0.0668265100154611,0.0652146451175212,0.0074521901133025,0.0769967429339885,0.6613499966020444,0.6647355093034202,0.0290467228103894,0.6973275788447549,0.3423940949969821,0.3110251426696777,0.2010046303843758,0.6332513332366947,0.0815572989616382,0.0792861180603318,0.0436898652465704,0.144435910312318,2.831561044396792,2.342778860141484,3.292084082676216,5.215053661149421,2.831561044396792,2.342778860141484,3.292084082676216,5.215053661149421,0.8245184688378463,0.8354927320794678,0.0522238697938526,0.8860692449430708,0.8003127773946019,0.8084998995104673,0.0693983149268276,0.8832709867039102,epoch_030.pth,30
100,10,90,0.0057170230546034,0.0050675610546022,0.0024446124474014,0.0073502084705978,0.0337629627436399,0.0329925753176212,0.0041447859820692,0.0375135943293571,0.7210696241902126,0.7181606824485243,0.0209617063890905,0.7469124538017694,0.0110009380047106,0.0103857265785336,0.0029366986528408,0.0151380757801234,0.0652370976905028,0.0634621381759643,0.0071810750342078,0.0756357535719871,0.6814656261660529,0.6869615755477467,0.0287865344180808,0.7198670876919235,0.2638344605763753,0.2323634624481201,0.1721529290091979,0.5235803365707398,0.0627074794076398,0.0611986331529741,0.0380756175854829,0.1196294187097813,2.6524588875622603,2.342778860141484,3.2639471102762783,4.58257569495584,2.6524588875622603,2.342778860141484,3.2639471102762783,4.58257569495584,0.8238201903065289,0.8325607880544517,0.0538700832571279,0.8838952203238847,0.8057506916116084,0.806569187129337,0.0641126521176358,0.8908987803251344,epoch_040.pth,40
100,10,90,0.0050831059529446,0.0045255564618855,0.0020654666477765,0.0067344896495342,0.0319674727320671,0.0316171273589134,0.0039763082033279,0.036934045702219,0.7349809764963289,0.7323065347308363,0.0197742515813365,0.7572318675982865,0.0102696067187935,0.0093212272040545,0.0033249426593789,0.0152668262831866,0.0621908172137207,0.0600635800510644,0.0079581667729724,0.073022923618555,0.698087761907557,0.7020470514686069,0.0297224488543045,0.7304113309210503,0.2001653750737508,0.1681578159332275,0.1613048193501257,0.4076366662979127,0.0484798140783026,0.0429857008830057,0.0367533856520088,0.0942441134006693,2.4381738742498293,1.7320508075688772,3.4624617676241445,4.5933597014426,2.4381738742498293,1.7320508075688772,3.4624617676241445,4.5933597014426,0.8308077119902373,0.8363546081189522,0.0511734671636463,0.8914383015669337,0.8195165902906143,0.8318313441988849,0.0606014605678543,0.8844875417044554,epoch_050.pth,50
100,10,90,0.0046370564191602,0.0041964959818869,0.001655685952724,0.0066593956202268,0.0307666274160146,0.0302438149228692,0.0038426376048619,0.0355848252773284,0.7487480804953927,0.7478483109871087,0.0186612809164398,0.7716296525852367,0.0094015574237952,0.0087914885953068,0.0030081518371197,0.0134782508015632,0.0595888385342227,0.0572359766811132,0.0078982533094378,0.0711265578866005,0.7181884479077544,0.7184458127210294,0.0339427001129261,0.7609452044875386,0.176752946111891,0.1346685886383056,0.1363322258425853,0.3412981986999514,0.043958150225305,0.031671933753152,0.0343455274693184,0.0899576092393054,2.387023315588956,1.7320508075688772,3.71661550364654,4.135059131767824,2.387023315588956,1.7320508075688772,3.71661550364654,4.135059131767824,0.8448177716520268,0.8509222653130721,0.0496500563561464,0.8951255042528028,0.8367710086571644,0.848324434723384,0.0606489556323514,0.9011919074143392,epoch_060.pth,60
100,10,90,0.0043848815071396,0.0039132435340434,0.0017867493577919,0.0060313775204122,0.029764816686511,0.0292443297803401,0.0034706650036369,0.0337459199130535,0.7583872380382906,0.7576949072787835,0.0192029814511994,0.7825889860954631,0.0090363505244668,0.0084476708434522,0.0030651660232622,0.0127022674307227,0.0572567658705843,0.0550762806087732,0.0083452474183934,0.0683165661990642,0.7446714499853792,0.748507956739997,0.0342841496760684,0.7849616201468452,0.1470270792643229,0.1441632509231567,0.0946845882377612,0.2784945726394653,0.0369980452984053,0.0338981152858138,0.0242795879967878,0.0725570368698345,2.334957460801387,1.4142135623730951,3.469418185393169,4.265590213907316,2.334957460801387,1.4142135623730951,3.469418185393169,4.265590213907316,0.842025790912831,0.8485010706592693,0.0528881117825742,0.9004196814681594,0.8221262530893463,0.8279019517408375,0.0618445227475966,0.9000815052311181,epoch_070.pth,70
100,10,90,0.0042111695953644,0.0039355710614472,0.0012168292531695,0.0058906336780637,0.0298119883984327,0.0296121248975396,0.0031005371709629,0.0340294018387794,0.7598898850705634,0.757288468081551,0.0188641726793871,0.7817642310567282,0.0087954616018881,0.0078561655245721,0.0030150181429324,0.0125207943841815,0.0558303802791569,0.0536665674299001,0.008052456603244,0.067868360877037,0.7527852511789513,0.7576062246480124,0.0339991084329253,0.7906363263784821,0.1453995201322767,0.107102632522583,0.1300920374292047,0.2956640243530274,0.0371304945086815,0.0239794824360198,0.0355136124416058,0.0792549996178426,2.843076730290971,2.118033988749895,3.484126422491041,5.2242597379411375,2.843076730290971,2.118033988749895,3.484126422491041,5.2242597379411375,0.8469605126899059,0.8490933737025095,0.053687816906702,0.9079786464811253,0.8269174162683498,0.8338326054652307,0.0629779376107422,0.910168752276456,epoch_080.pth,80
100,10,90,0.0042400158359669,0.003815269912593,0.0016043461328955,0.0059070681687444,0.0292391778901219,0.0288385674357414,0.003622232710487,0.0336994685232639,0.7683482214621732,0.7667249415226629,0.017516379841482,0.7919459673705586,0.0087714861457546,0.0080222771503031,0.0030310877349314,0.0125940544530749,0.0552857459005382,0.0531531926244497,0.0081470148231423,0.06609703078866,0.7592420271393342,0.7623258947331903,0.0353333904390711,0.7972727944867396,0.2389890882703993,0.2319753170013427,0.1561268916016376,0.4509409427642823,0.0575998929675334,0.0562137475992434,0.0358125488575356,0.110357572546458,2.328030769532938,1.5731321849709865,3.994752872692585,4.254266512761425,2.328030769532938,1.5731321849709865,3.994752872692585,4.254266512761425,0.8423354139642614,0.8516080713882728,0.0493034973120764,0.8993789153190491,0.8373560081988092,0.8466350692520663,0.0577110606611308,0.9033582089383702,epoch_090.pth,90
