n_samples,n_water_only,n_non_water_only,mean_mse_global,median_mse_global,std_mse_global,p90_mse_global,mean_mae_global,median_mae_global,std_mae_global,p90_mae_global,mean_ssim_global,median_ssim_global,std_ssim_global,p90_ssim_global,mean_profile_pearson_centroid_to_end,median_profile_pearson_centroid_to_end,std_profile_pearson_centroid_to_end,p90_profile_pearson_centroid_to_end,mean_profile_mae_centroid_to_end,median_profile_mae_centroid_to_end,std_profile_mae_centroid_to_end,p90_profile_mae_centroid_to_end,mean_mse_brain,median_mse_brain,std_mse_brain,p90_mse_brain,mean_mae_brain,median_mae_brain,std_mae_brain,p90_mae_brain,mean_ssim_brain,median_ssim_brain,std_ssim_brain,p90_ssim_brain,mean_peak_abs_err_brain,median_peak_abs_err_brain,std_peak_abs_err_brain,p90_peak_abs_err_brain,mean_peak_rel_err_brain,median_peak_rel_err_brain,std_peak_rel_err_brain,p90_peak_rel_err_brain,mean_peak_loc_err_vox_brain,median_peak_loc_err_vox_brain,std_peak_loc_err_vox_brain,p90_peak_loc_err_vox_brain,mean_peak_loc_err_mm_brain,median_peak_loc_err_mm_brain,std_peak_loc_err_mm_brain,p90_peak_loc_err_mm_brain,mean_dice_focus_brain_thr20,median_dice_focus_brain_thr20,std_dice_focus_brain_thr20,p90_dice_focus_brain_thr20,mean_dice_focus_brain_thr30,median_dice_focus_brain_thr30,std_dice_focus_brain_thr30,p90_dice_focus_brain_thr30,mean_dice_focus_brain_thr50,median_dice_focus_brain_thr50,std_dice_focus_brain_thr50,p90_dice_focus_brain_thr50,mean_dice_focus_brain_thr70,median_dice_focus_brain_thr70,std_dice_focus_brain_thr70,p90_dice_focus_brain_thr70,mean_dice_focus_brain_thr90,median_dice_focus_brain_thr90,std_dice_focus_brain_thr90,p90_dice_focus_brain_thr90,checkpoint,epoch
100,10,90,0.0031969432649202,0.0031384697649627,0.0006449924307618,0.0038899339502677,0.0253271602839231,0.0253261094912886,0.0022536795840576,0.028255358710885,0.798896022015697,0.7981215672035513,0.0160797016912975,0.8183348776282209,0.9889410750236548,0.9906645405455312,0.0070306623987912,0.9953246045830504,0.1469187155365943,0.1477561965584755,0.0410146841765435,0.2025103405117989,0.0072539166288657,0.0065714598167687,0.0024613053614454,0.0105991324409842,0.0500216954284244,0.0487577803432941,0.0075740524121119,0.0617397252470254,0.7960372907446669,0.7966717481514072,0.035040373375075,0.8340759778779295,0.1674939102596706,0.1362015008926391,0.127161755125458,0.3412447690963746,0.0407163414012209,0.034888325346637,0.0297555540625598,0.0797384859413602,2.173053055545843,1.4142135623730951,3.666675208475594,4.135059131767824,2.173053055545843,1.4142135623730951,3.666675208475594,4.135059131767824,0.7752328409845624,0.7825305804414706,0.0408678685352313,0.8269689840274242,0.7836123977288707,0.7925915753751254,0.0529621336247227,0.8444725291089334,0.8408566379929763,0.8465745620225389,0.0450575048852109,0.8944761281382242,0.8330435643253171,0.8410669655388852,0.0519511404878086,0.8955078839371066,0.7386375417350962,0.7333333332620371,0.0904059536195948,0.8391176469933866,last.pth,100
100,10,90,0.0025728676759172,0.0024849721230566,0.000617289030873,0.0033517936943098,0.0221249784529209,0.0221168110147118,0.0020918425050562,0.0249980069696903,0.8298924861122908,0.8284567940883645,0.014863377586124,0.8473645278704115,0.9896585762017728,0.9922241079081074,0.0069577834609703,0.9959852317836771,0.1308967250916693,0.1267849430441856,0.0393273996646703,0.1812785223126411,0.0060403417071534,0.0054552752990275,0.0019876444718503,0.0090242488309741,0.0438905217995246,0.0420968737453222,0.0064358275801072,0.0518960498273372,0.8240243016400353,0.8256052140276162,0.0306688763639633,0.8592099866156416,0.1508817063437567,0.122551679611206,0.1207544004724125,0.3387574911117554,0.039044297732222,0.0308745888709612,0.0337199545601593,0.0955314827636324,2.519193703718837,2.23606797749979,3.720558018904188,4.711272132397724,2.519193703718837,2.23606797749979,3.720558018904188,4.711272132397724,0.7972147768938449,0.8034157798866928,0.0460608675475303,0.8531719960484921,0.7970031867572822,0.8077235091334016,0.0612247822028965,0.87183885085067,0.8339410028124342,0.8341763049031956,0.0548041470532624,0.9028523974532544,0.8131169048675889,0.8175050060155555,0.0706000760927507,0.907509318861568,0.6799132510598401,0.6849349348723719,0.1272510409914146,0.8415621912452251,last.pth,100
100,10,90,0.0025981957674957,0.0025276262313127,0.0005147085086184,0.003298368724063,0.0232114307954907,0.0232975082471966,0.0019160592229234,0.0253686845302581,0.8161487575605244,0.8144938738750029,0.0153307747834694,0.8359829670924495,0.990665966732638,0.9934521482441504,0.0066788025793231,0.9960605044814232,0.1272788036200735,0.1198666617274284,0.0374189893923592,0.1767604395747185,0.0060049654398527,0.0055482382886111,0.0021066804240683,0.0087747011333704,0.0455458275145954,0.0440387912094593,0.0069544094277009,0.0550936501473188,0.8096891992280559,0.8121338345820894,0.0336940218937822,0.8481653670127836,0.1240024089813232,0.1070218086242675,0.0812864241263112,0.2459102869033814,0.0309094163354835,0.0243854639822197,0.0212781607520552,0.0625736584839467,2.209513917012095,1.5731321849709865,3.816083423482028,4.123105625617661,2.209513917012095,1.5731321849709865,3.816083423482028,4.123105625617661,0.7970330902150818,0.8047370404007492,0.0432106455573506,0.8467694088581779,0.820711768200246,0.8388451466954029,0.055658806662464,0.8864138957683437,0.8732932730278115,0.8854989926501136,0.0454041388142288,0.924274197728668,0.8649265999918739,0.8739201130994707,0.0515328216168584,0.9218132792601031,0.7723979915132047,0.7844050632349435,0.089296812545298,0.874999999921875,last.pth,100
100,10,90,0.0047842432418838,0.0046061037573963,0.0009717109755562,0.0058969662059098,0.029752424582839,0.0297494642436504,0.0025211440644828,0.0334164030849933,0.7553369350169503,0.7556232294232508,0.013852629407746,0.771853884253442,0.9782859892695748,0.9844316568519936,0.0130936613426225,0.9918998147177852,0.2074684764775965,0.198075346648693,0.0654412491719558,0.2941054344177247,0.0110510427866958,0.0107971462421119,0.0028849367753084,0.0149659094400703,0.0586922915031512,0.0578476879745721,0.0078013057972019,0.0691093526780605,0.7493073432806674,0.7539462901101361,0.0332220587246003,0.7873386376673337,0.2687614970737033,0.2422590255737304,0.2180851658177271,0.511421370506287,0.0675712055125168,0.0554515581878499,0.0578932191011882,0.1289349836555446,3.061478210373989,2.449489742783178,4.062650482773906,5.5039592822003005,3.061478210373989,2.449489742783178,4.062650482773906,5.5039592822003005,0.7332775247332131,0.7374554176617651,0.0450871513100766,0.7860087621248908,0.7179310597881307,0.7203582771340855,0.0572019346953882,0.7954117117252513,0.7508115225074311,0.7610333286215376,0.0706102221349664,0.8296723298386008,0.7060480163142495,0.7178536651204992,0.090231438131354,0.8112012986872101,0.5213071973522966,0.5381600659519209,0.1547223942532093,0.7108333332829516,best.pth,121
100,10,90,0.0038651520409621,0.0036757237976416,0.000936065441643,0.0052402832079678,0.0285574994422495,0.0281635047867894,0.0034242919706507,0.0329352479428052,0.7713489938841696,0.7692905766801954,0.0159990395180031,0.7935787851772762,0.9890775561893534,0.991644245651536,0.007635155299206,0.995338253851362,0.1425900628169377,0.1353634968400001,0.0390626075385988,0.1919139683246613,0.0085147349629551,0.0077046763617545,0.0030414109430005,0.0123898371122777,0.0550728852136267,0.0533429570496082,0.0087153495007699,0.0678475968539714,0.7546746024036732,0.7584674020222261,0.0372248582014129,0.7997344136634753,0.1338181389702691,0.1188042163848877,0.1060324864330048,0.2354255676269531,0.0339089664587183,0.0276265491200419,0.0278551897562944,0.0632092612126465,2.249341413657728,1.5731321849709865,3.808822635864122,4.169052632551482,2.249341413657728,1.5731321849709865,3.808822635864122,4.169052632551482,0.698405415644596,0.6949674567195624,0.0414461510002878,0.7480428934880123,0.7734608297859104,0.789498795401278,0.0569674717935864,0.8388522981064459,0.8560407890733384,0.8635546320244925,0.050298005379972,0.9148056817862018,0.8435972092025299,0.8509482617766932,0.0574161562726812,0.9045556068533838,0.7401135810853237,0.7580982235540699,0.1015386007645377,0.8510638296966954,epoch_100.pth,100
100,10,90,0.0041289571067318,0.0039280033670365,0.0008693697834226,0.0054702970199286,0.0302977283857762,0.0299756797030568,0.0026436479781714,0.0341038923710584,0.7330676404729287,0.7341982820369893,0.0172450173740116,0.7527925673878962,0.9901486337202876,0.9936073508389474,0.0084398985010581,0.9966818436832888,0.1313872050907876,0.119909182190895,0.0456667469901857,0.1947880387306213,0.0084782471311175,0.0076825376600027,0.0027663371966305,0.0114938620477914,0.0577976247502697,0.0562244448810815,0.007426396038047,0.0670213535428047,0.7240701120268646,0.7275026007205421,0.0290407507835914,0.758012246372723,0.1529157161712646,0.1112985610961914,0.1305005941219564,0.3239760160446168,0.0402201098615998,0.0260730660424477,0.0388636482344748,0.0835809736602827,2.438674253364712,2.0,3.648071194690644,4.242640687119285,2.438674253364712,2.0,3.648071194690644,4.242640687119285,0.7450855389348241,0.7583673457467228,0.041153612699225,0.7907072276366766,0.7963928496710857,0.814869063939719,0.0605590696592885,0.8632400372477679,0.8655895271901931,0.8761288921569566,0.054462738438654,0.920498680236262,0.8551841365012346,0.8555377206913852,0.0598600482332267,0.9295573536226006,0.7599054584174709,0.7814122533021777,0.1063807317883712,0.882538699622704,best.pth,255
