method,n_cases,mean_time_s,median_time_s,std_time_s,min_time_s,max_time_s,p90_time_s,speedup_vs_kwave,time_reduction_percent
k-Wave,10,116.61735276999998,115.3225673500001,2.3401392171771924,115.00982309999927,121.37389339999936,120.44106581000123,1.0,0.0
U-Net Full Loss,10,4.904836031999984,5.118135259999872,0.5526018838832933,4.100687959999777,5.677062260000094,5.332181936000052,23.775994143161675,95.79407702584915
cGAN Full Loss 220e,10,4.108831187999895,4.130135079999491,0.07685432120387327,3.9683994800001527,4.1910272400000395,4.187901053999995,28.382123147475234,96.47665541156333
