method,n_cases,mean_time_s,median_time_s,std_time_s,min_time_s,max_time_s,p90_time_s,speedup_vs_kwave,time_reduction_percent
k-Wave,10,25.57728753052652,25.595896976068616,0.3357062335347022,25.04006727784872,25.974943552166224,25.969568636640908,1.0,0.0
U-Net Full Loss,10,0.07545491233468057,0.07523879520595073,0.0015479019317353356,0.07354376912117004,0.07935414016246796,0.0766634077578783,338.97445161791927,99.70499251633065
cGAN Full Loss 220e,10,0.07513929098844528,0.07427274398505687,0.002788044828613737,0.07335959747433662,0.08300157859921456,0.07557656086981296,340.3983081828617,99.70622650701813
