n_samples,n_water_only,n_non_water_only,mean_mse_global,median_mse_global,std_mse_global,p90_mse_global,mean_mae_global,median_mae_global,std_mae_global,p90_mae_global,mean_ssim_global,median_ssim_global,std_ssim_global,p90_ssim_global,mean_profile_pearson_centroid_to_end,median_profile_pearson_centroid_to_end,std_profile_pearson_centroid_to_end,p90_profile_pearson_centroid_to_end,mean_profile_mae_centroid_to_end,median_profile_mae_centroid_to_end,std_profile_mae_centroid_to_end,p90_profile_mae_centroid_to_end,mean_mse_brain,median_mse_brain,std_mse_brain,p90_mse_brain,mean_mae_brain,median_mae_brain,std_mae_brain,p90_mae_brain,mean_ssim_brain,median_ssim_brain,std_ssim_brain,p90_ssim_brain,mean_peak_abs_err_brain,median_peak_abs_err_brain,std_peak_abs_err_brain,p90_peak_abs_err_brain,mean_peak_rel_err_brain,median_peak_rel_err_brain,std_peak_rel_err_brain,p90_peak_rel_err_brain,mean_peak_loc_err_vox_brain,median_peak_loc_err_vox_brain,std_peak_loc_err_vox_brain,p90_peak_loc_err_vox_brain,mean_peak_loc_err_mm_brain,median_peak_loc_err_mm_brain,std_peak_loc_err_mm_brain,p90_peak_loc_err_mm_brain,mean_dice_focus_brain_thr20,median_dice_focus_brain_thr20,std_dice_focus_brain_thr20,p90_dice_focus_brain_thr20,mean_dice_focus_brain_thr30,median_dice_focus_brain_thr30,std_dice_focus_brain_thr30,p90_dice_focus_brain_thr30,mean_dice_focus_brain_thr50,median_dice_focus_brain_thr50,std_dice_focus_brain_thr50,p90_dice_focus_brain_thr50,mean_dice_focus_brain_thr70,median_dice_focus_brain_thr70,std_dice_focus_brain_thr70,p90_dice_focus_brain_thr70,mean_dice_focus_brain_thr90,median_dice_focus_brain_thr90,std_dice_focus_brain_thr90,p90_dice_focus_brain_thr90,checkpoint,epoch
100,10,90,0.0041289571067318,0.0039280033670365,0.0008693697834226,0.0054702970199286,0.0302977283857762,0.0299756797030568,0.0026436479781714,0.0341038923710584,0.7330676404729287,0.7341982820369893,0.0172450173740116,0.7527925673878962,0.9901486337202876,0.9936073508389474,0.0084398985010581,0.9966818436832888,0.1313872050907876,0.119909182190895,0.0456667469901857,0.1947880387306213,0.0084782471311175,0.0076825376600027,0.0027663371966305,0.0114938620477914,0.0577976247502697,0.0562244448810815,0.007426396038047,0.0670213535428047,0.7240701120268646,0.7275026007205421,0.0290407507835914,0.758012246372723,0.1529157161712646,0.1112985610961914,0.1305005941219564,0.3239760160446168,0.0402201098615998,0.0260730660424477,0.0388636482344748,0.0835809736602827,2.438674253364712,2.0,3.648071194690644,4.242640687119285,2.438674253364712,2.0,3.648071194690644,4.242640687119285,0.7450855389348241,0.7583673457467228,0.041153612699225,0.7907072276366766,0.7963928496710857,0.814869063939719,0.0605590696592885,0.8632400372477679,0.8655895271901931,0.8761288921569566,0.054462738438654,0.920498680236262,0.8551841365012346,0.8555377206913852,0.0598600482332267,0.9295573536226006,0.7599054584174709,0.7814122533021777,0.1063807317883712,0.882538699622704,best.pth,255
100,10,90,0.0093975474359467,0.0078482464887201,0.0057221503135479,0.0106585307046771,0.0418245816975832,0.0399263575673103,0.0079273761355283,0.045799782499671,0.6613754369316942,0.6594709031831981,0.021903372809022,0.6862097290451589,0.9821613141251362,0.9848393598249608,0.0093153468797318,0.9908983995063894,0.2687292840745714,0.2583540976047516,0.0851650000122864,0.3795623898506165,0.0159704913695653,0.0152762280777096,0.0041290734905324,0.0229396410286426,0.0775063108238909,0.0763061828911304,0.0093168677807808,0.0914482124149799,0.648042330696388,0.6519539092702795,0.0333995503692813,0.6894738320151361,0.5891953441831801,0.5441591739654541,0.347638661568428,1.0362473011016846,0.1368549219897686,0.1428448597771078,0.0714467037529074,0.2265933287879335,3.1183350490940103,2.724744871391589,3.4380853634015973,5.477225575051661,3.1183350490940103,2.724744871391589,3.4380853634015973,5.477225575051661,0.650529453188679,0.6532644719296723,0.0437491705320458,0.7058766430447323,0.6682926113720248,0.6727663142281196,0.0709960104652553,0.7521653796461071,0.7543171019908009,0.7568119947164762,0.0685560050444139,0.842555253162788,0.7310771144481576,0.7437465665516394,0.0907225347365179,0.8316903854872479,0.5687984747195791,0.5714362386872036,0.1384299720857051,0.7541271210191445,epoch_010.pth,10
100,10,90,0.0073470672871917,0.006145273335278,0.0039831380441165,0.0087624572217464,0.0377236100286245,0.036334229633212,0.0059475482590253,0.0414745323359967,0.6963566689351767,0.6932644560736678,0.0192365384051588,0.717610935647507,0.9851484501615972,0.9877445284779044,0.0088857364006816,0.9932392491538772,0.1830285457273324,0.1682583093643188,0.0512079640348973,0.2471975013613702,0.0140458592627611,0.013344463892281,0.003077864060968,0.0185270188376307,0.0748564380324549,0.0732423178851604,0.0084435887155695,0.0863864481449127,0.6397023682771137,0.6442012592804855,0.0338695674399819,0.6819832503467951,0.3042664130528767,0.2517852783203125,0.2244037605233436,0.5627476692199709,0.0785858980977476,0.0594976426778505,0.0626548581248742,0.1617485489999645,2.8879314149337865,2.23606797749979,3.5984359146061538,5.0990195135927845,2.8879314149337865,2.23606797749979,3.5984359146061538,5.0990195135927845,0.6554707688431928,0.6580091004489328,0.0351300938789216,0.6935468026094943,0.7463950840534376,0.7544662328473244,0.0551458177111159,0.8108076820703816,0.8030538487356549,0.805257352950304,0.0540180168155403,0.8672535545597279,0.7866802008866972,0.7981882687581721,0.0740298320716656,0.874234693862769,0.642143250831104,0.6638418078419128,0.1333474437022851,0.801481481413937,epoch_020.pth,20
100,10,90,0.0063955853227525,0.0055514595005661,0.0028202959144921,0.0079329815693199,0.0362176984548568,0.0351881440728902,0.0048744290113024,0.0401852257549762,0.7022412783249254,0.699452523878218,0.0203041199278749,0.729160926212048,0.9844025812261988,0.9883683308033318,0.0098892040596464,0.9930360577060964,0.23025723695755,0.2131867259740829,0.0689033346083957,0.3244858384132386,0.0119371810669286,0.0113759785890579,0.0028843280342165,0.0154746485874056,0.0699187251428763,0.0687540918588638,0.0065251759452447,0.079262088984251,0.6558871110260484,0.6604241682394417,0.0246377057866915,0.6852878987965741,0.3650892310672336,0.337165355682373,0.2285199623764548,0.725807571411133,0.0852005635522917,0.083811957683139,0.0476200297545208,0.1554245947530682,2.4643785058434617,1.4142135623730951,3.4390170950340955,4.242640687119285,2.4643785058434617,1.4142135623730951,3.4390170950340955,4.242640687119285,0.7222113009985737,0.728056463522099,0.0387700825270244,0.7643667516528945,0.7358104244246813,0.7400060935855628,0.0511359189138534,0.7974617296907819,0.7953467645487848,0.8051022776455367,0.0616712320258637,0.8708786786515211,0.7718062600331539,0.7713122612210246,0.076663352165584,0.8704160619097258,0.6289581182682815,0.6278221014513629,0.1327176395078534,0.8047458228832112,epoch_030.pth,30
100,10,90,0.0060499986866489,0.0054186615161597,0.002108506531204,0.0079205948393792,0.0349307483434677,0.0340947210788726,0.0039813973031496,0.0390944965183734,0.7120150752295048,0.709205370842166,0.0196806882873519,0.7308880428304241,0.9843861775599314,0.9870763997585328,0.0106306845642844,0.9940473344673676,0.1862971681687567,0.17616006731987,0.0470747358105346,0.2469353824853897,0.0126359294686052,0.0115732750855386,0.0034940393809767,0.0175856290385127,0.0675361391570833,0.0658368989825248,0.0083818443869867,0.0786821164190769,0.6803487392625378,0.6803409667204332,0.0316290538151209,0.7186291123394805,0.1801246749030219,0.1480871438980102,0.1424524505656869,0.379994821548462,0.0432571956067622,0.037099039434752,0.0319670593772211,0.0871196138794713,3.2006874699808137,2.449489742783178,3.4124021756523235,5.744562646538029,3.2006874699808137,2.449489742783178,3.4124021756523235,5.744562646538029,0.6722752935438289,0.6691458230323037,0.0412665881177268,0.7273190528591729,0.7303611080042571,0.7448212867230741,0.0585476371539288,0.8040136056606506,0.7818096291908165,0.7923964182892045,0.0721428730599276,0.8762466216263924,0.7408408616099796,0.7472015091284542,0.0941494707621621,0.8729308478131433,0.5517631840373677,0.5391713928145814,0.1647941389264512,0.7792344496798631,epoch_040.pth,40
100,10,90,0.0054596745804883,0.0050427026581019,0.0016988254222452,0.0070259654894471,0.0339108672179281,0.0337191969156265,0.0034441600484113,0.0375523779541254,0.7073981468863937,0.7024903897802643,0.0228400925825052,0.7324683770577463,0.9873277869853072,0.9898812126145432,0.0088423225316408,0.9949514101611316,0.1525729458365175,0.13924590498209,0.0413304625210811,0.2186597019433975,0.0110842798526088,0.0103661478497087,0.0036959896862654,0.0159292368218302,0.0645447656098339,0.0629556328058242,0.0098148159009149,0.0775259487330913,0.6983441417215237,0.702083680114332,0.0347677460609411,0.7383115522764109,0.1787411875194973,0.1777554750442505,0.1152062497589137,0.3155203819274902,0.0439239235911909,0.042921374656088,0.0274182280971054,0.0775625668345314,2.6618701648573904,2.118033988749895,3.5905744670205446,4.898979485566356,2.6618701648573904,2.118033988749895,3.5905744670205446,4.898979485566356,0.7246161323576933,0.7244439443910142,0.0513580518958918,0.7955803861385001,0.7739536153023414,0.7781516724044282,0.0546634722902864,0.8404392319326515,0.8346673294761994,0.8417687272084964,0.0526807064718561,0.9006246385144789,0.818754754967578,0.8264379539506648,0.0640965869898108,0.8988463235413154,0.7014094920192965,0.7052139036736256,0.1140023940387978,0.8336363635394747,epoch_050.pth,50
100,10,90,0.0055063635064288,0.0051847107242792,0.0014282672819146,0.0071849232539534,0.0345472418516874,0.034240934997797,0.003078043371568,0.0382612124085426,0.7023482815939647,0.7003727696331321,0.0227618360037184,0.7249557651577665,0.9876239454780188,0.9907909276336913,0.0090765095064943,0.9948875091683111,0.1553161210483974,0.1462955027818679,0.047373892595852,0.2208608195185661,0.0111278264421141,0.0100098359398543,0.003185467438818,0.0155158306472003,0.0651942230761051,0.0629253610968589,0.008999012051457,0.0784480966627597,0.7009212064108378,0.706705978174208,0.0355370763855405,0.7466801996586394,0.2104348553551568,0.1874926090240478,0.1522882212608708,0.4131052494049072,0.0549431693232889,0.0448897678810256,0.0446025475252954,0.1220629813676595,2.481713802683415,1.7320508075688772,3.81327898291885,4.493963935481967,2.481713802683415,1.7320508075688772,3.81327898291885,4.493963935481967,0.6739365245995643,0.6763369268596756,0.040719600255315,0.72204471514917,0.7611866521760015,0.7640076192411397,0.0631626785761979,0.8353172362745671,0.8338086648079921,0.8459397438683958,0.0602693050357362,0.9055437483677216,0.8178713429211913,0.8251446742540496,0.069071842133577,0.905046240570524,0.7166607896006395,0.7415966385750036,0.1178850000837899,0.8667469878546892,epoch_060.pth,60
100,10,90,0.0056231528241187,0.005246136104688,0.0015192270390396,0.0070196690969169,0.0348928955011069,0.0346490703523159,0.0032718725543457,0.0384453304111957,0.7001791399996773,0.6985511291281288,0.018980287172003,0.7274306098078345,0.9865667823896904,0.9897341226971896,0.0099737544216927,0.9944750346289468,0.1545099212063683,0.1391585618257522,0.0450641545674003,0.2182757258415224,0.010593640188583,0.0096822772175073,0.0030985927393469,0.0156534923240542,0.0644353806558582,0.063198372721672,0.0080044618776523,0.0757373839616775,0.693905011946821,0.7005080449584038,0.036866399555356,0.7347982158030072,0.1662834776772393,0.1503450870513916,0.118265296446162,0.3275760412216187,0.0412620688812227,0.0351400129315502,0.0305323285542817,0.0801012594290187,2.5267239403319213,2.118033988749895,3.4454639288358666,4.276634187902944,2.5267239403319213,2.118033988749895,3.4454639288358666,4.276634187902944,0.7162647190037761,0.7300223094624319,0.0397426441525985,0.7565137705488526,0.7829452193355105,0.7866861270504113,0.0584994833061131,0.8508608007663215,0.8442293608277702,0.8504483776867484,0.0515758552822145,0.906947462283322,0.8221817006840497,0.8279992828028434,0.0643152939143038,0.9003328050543069,0.7036152958467713,0.7122830439891112,0.1176990039112297,0.8463414633423559,epoch_070.pth,70
100,10,90,0.0050682170735672,0.0047895049210637,0.0013641617106283,0.0067658411804586,0.0330623715743422,0.0327054504305124,0.0032829571348717,0.0368660554289817,0.7137031863409359,0.711714443937132,0.0189233666014119,0.7397742241755637,0.9874404554643048,0.9907246132551104,0.008396777458364,0.9945710432913304,0.1560047284596496,0.1493420153856277,0.0421227066199898,0.213569438457489,0.0096577648797796,0.0084660477004945,0.0033119179462805,0.0145034730434417,0.0602863401174545,0.0582996625453233,0.00843561341096,0.0724658377468586,0.7151813087458911,0.7214926273720758,0.0345555491598446,0.7545204545866233,0.1844683382246229,0.1402549743652343,0.1544041131924699,0.3855283498764043,0.0472246881266509,0.0354209239847442,0.0425837384142688,0.1093027879043523,2.50483196040213,1.7320508075688772,3.4774248398512784,4.918983488369,2.50483196040213,1.7320508075688772,3.4774248398512784,4.918983488369,0.7100066240934909,0.7189331658711149,0.0428207612558018,0.7584167760447599,0.794465767922935,0.8092371466279777,0.0572855652689048,0.8614450529789512,0.8603385276983314,0.8757960388061383,0.0526620678218622,0.9165102763943124,0.8426242267087769,0.859527038808437,0.0606253192019507,0.9052256065094838,0.7320174350954675,0.7522151649925504,0.107030458492656,0.8543865842070748,epoch_080.pth,80
100,10,90,0.0050643787090666,0.0047459865454584,0.0013257947439411,0.0067666492424905,0.0330185003764927,0.0328634437173604,0.0031172449856834,0.0367934912443161,0.7168627025483082,0.7171277921446442,0.0206046502134546,0.7456557928603947,0.9892732328419276,0.9918951254560586,0.0071832514525307,0.995570687383554,0.1708811084429423,0.1669147908687591,0.0448009692840889,0.2313374012708664,0.0101750614535477,0.0089998506009578,0.0036080781214482,0.0157849017530679,0.0615142426557011,0.0595807507634162,0.0101294693405358,0.0742882527410984,0.724145687885686,0.7294634465028522,0.0374319493161912,0.768193949786612,0.2767126427756415,0.2807821035385132,0.1511080577206988,0.4616218090057373,0.0663978253225987,0.0674372812552796,0.0339076531479622,0.1095645476700654,2.626170768222311,2.23606797749979,3.830129731849994,4.898979485566356,2.626170768222311,2.23606797749979,3.830129731849994,4.898979485566356,0.7219235638747624,0.7262095927699881,0.0390540459535471,0.7701638931346689,0.7733717819886952,0.7805551189495425,0.0579242420146582,0.8387544365880493,0.8481119626965116,0.8547497446331576,0.0497370463107315,0.9074947007599964,0.833092016388394,0.8320067534834447,0.0589006304179706,0.907125307111255,0.7117323787408422,0.7184466018719955,0.110044366229187,0.8381566819467947,epoch_090.pth,90
100,10,90,0.0048316139285452,0.004529622150585,0.0011806296225179,0.0067218398675322,0.0322249231487512,0.0319438558071851,0.0029702072504775,0.036186383664608,0.7217364522964034,0.7222705196035129,0.0159618701445551,0.7429891841725139,0.989337342086266,0.9919012165927,0.0079216648308671,0.9959419229973494,0.1423730404012733,0.132192812860012,0.041128723108413,0.1969252720475197,0.0094121778746032,0.0087891495786607,0.0029581411346923,0.0133035237900912,0.0599072030021084,0.058576675131917,0.0080112772536808,0.0713094927370548,0.718534689762227,0.7208041258233178,0.035248550858535,0.7584454376228522,0.1502810743119981,0.1132912635803222,0.1303613943502207,0.3076951742172241,0.0380038869325597,0.026154207765352,0.0343888269246929,0.0862178510622956,2.2559868980509816,1.4142135623730951,3.7087690087503096,4.135059131767824,2.2559868980509816,1.4142135623730951,3.7087690087503096,4.135059131767824,0.7220370815378776,0.7290056561580134,0.0441413467431849,0.7725529734938487,0.7866683344555767,0.7990915402959009,0.0561763627377686,0.8516943015448004,0.8535262987076787,0.8579025696074547,0.05173801214356,0.910289010873715,0.8354447113428943,0.8449233545874748,0.060915893635092,0.9069090908916696,0.7194063205401829,0.7211208539125114,0.1126292928184389,0.8580952380276065,epoch_100.pth,100
100,10,90,0.0049214736721478,0.0045833836775273,0.001275812045702,0.0064278618432581,0.0322538485564291,0.0319053456187248,0.0031216844269602,0.036823371052742,0.7242475735304841,0.7226399202766858,0.0178968503869915,0.747809955511999,0.98812855488675,0.9905928604524364,0.0080459770562499,0.9951695959559548,0.1484050532182057,0.1388255357742309,0.0362925772942636,0.2078572034835815,0.0100916152250849,0.0090678851120173,0.003318176362267,0.0152197359129786,0.0612041057397921,0.0593230109661817,0.0086876826804714,0.0720190875232219,0.7178728827571864,0.723773028376161,0.0306733425454672,0.7518107077969002,0.1514004309972127,0.1369174718856811,0.1207447912215951,0.3382708549499512,0.0391484157670972,0.0317265595594726,0.0336301274542896,0.0982346773154789,2.493289016976404,2.23606797749979,3.6946145325989694,4.58257569495584,2.493289016976404,2.23606797749979,3.6946145325989694,4.58257569495584,0.7028424419180508,0.7132413735806871,0.0443730108536796,0.7499003422220977,0.7778146234960746,0.7942964731329887,0.0554769177296343,0.8423544343438234,0.8414206270696648,0.8436540460586895,0.0508422358638505,0.9026206951090782,0.8242052548495906,0.8304597701010026,0.0650886759548182,0.90506853962606,0.7002792840281907,0.7165903889393566,0.1232425222409884,0.8550558212941528,epoch_110.pth,110
100,10,90,0.004720107242465,0.0045290000271052,0.0010653704186658,0.0064153767190873,0.032253906968981,0.0320089366286993,0.0029972040329441,0.036393604800105,0.7208459897030468,0.7207963972236011,0.0175124252580497,0.7416853367279262,0.9887258130079424,0.9919286067450076,0.0085426894138407,0.9954754799855278,0.1425604579349358,0.1341833621263504,0.0422622414049822,0.1970340400934221,0.0094923866809242,0.0087450123392045,0.00306771155559,0.0135151108726859,0.0607387137081888,0.0589749906212091,0.0083052006120968,0.074076972156763,0.7179714965069948,0.7214932095086322,0.0327863755293826,0.7561489896798395,0.1303639676835802,0.0977709293365478,0.1199091752313082,0.3050910711288452,0.0335326320936959,0.0222576094948257,0.0333498148143744,0.0773298705878516,2.3952577586720216,2.23606797749979,3.682762586635404,4.123105625617661,2.3952577586720216,2.23606797749979,3.682762586635404,4.123105625617661,0.7316314070975627,0.738877646182423,0.0358001393897766,0.772982935867155,0.7793260516807139,0.7905092153417909,0.0580776296615457,0.8445527403269175,0.8618665875375533,0.8706936256399413,0.0486195908126613,0.9146218487338944,0.8480212568411876,0.8547078275083755,0.0566291301915865,0.9131867156428668,0.7517058188087142,0.7732353879750797,0.1059752830125051,0.8830065358632735,epoch_120.pth,120
100,10,90,0.0046573574608191,0.0044293992687016,0.0010516016379236,0.0063320808112621,0.0319918004609644,0.0315441749989986,0.0027855939297348,0.0360955759882926,0.7218801914942503,0.7223780477569068,0.0156093930643874,0.7413936947371621,0.9883017443335352,0.9919752296449516,0.0091160090899974,0.9956181886812576,0.1449915991061263,0.1342540234327316,0.0437341527725259,0.2064657837152482,0.0093051999289956,0.0081843882799148,0.003038943286311,0.0132766673341393,0.0599845044728782,0.0579732004553079,0.0079333056039558,0.0702033504843712,0.719239695355381,0.7183647466332674,0.0301075348666063,0.7524975874707295,0.1408602899975246,0.1131653785705566,0.1139204483984551,0.2918182611465454,0.035799768620706,0.0257909835830179,0.0309839021524968,0.0760473295521903,2.3211177327368406,1.7320508075688772,3.684980208554893,4.58257569495584,2.3211177327368406,1.7320508075688772,3.684980208554893,4.58257569495584,0.7319060611263722,0.7425035669198005,0.0487821594472822,0.7877763012218314,0.7891711910043556,0.7991462238850371,0.0592905548432461,0.8582933466511493,0.8564288464792672,0.8619922983506683,0.0507633142705191,0.9148504098774248,0.841611987542205,0.8519767992273037,0.06444862562961,0.9169990997883062,0.7443198047163662,0.7458138698612922,0.1101891918475334,0.8854309888223058,epoch_130.pth,130
