n_samples,n_water_only,n_non_water_only,mean_mse_global,median_mse_global,std_mse_global,p90_mse_global,mean_mae_global,median_mae_global,std_mae_global,p90_mae_global,mean_ssim_global,median_ssim_global,std_ssim_global,p90_ssim_global,mean_mse_brain,median_mse_brain,std_mse_brain,p90_mse_brain,mean_mae_brain,median_mae_brain,std_mae_brain,p90_mae_brain,mean_ssim_brain,median_ssim_brain,std_ssim_brain,p90_ssim_brain,mean_peak_abs_err_brain,median_peak_abs_err_brain,std_peak_abs_err_brain,p90_peak_abs_err_brain,mean_peak_rel_err_brain,median_peak_rel_err_brain,std_peak_rel_err_brain,p90_peak_rel_err_brain,mean_peak_loc_err_vox_brain,median_peak_loc_err_vox_brain,std_peak_loc_err_vox_brain,p90_peak_loc_err_vox_brain,mean_peak_loc_err_mm_brain,median_peak_loc_err_mm_brain,std_peak_loc_err_mm_brain,p90_peak_loc_err_mm_brain,mean_dice_focus_brain_thr50,median_dice_focus_brain_thr50,std_dice_focus_brain_thr50,p90_dice_focus_brain_thr50,mean_dice_focus_brain_thr70,median_dice_focus_brain_thr70,std_dice_focus_brain_thr70,p90_dice_focus_brain_thr70,checkpoint,epoch
100,10,90,0.0046358572132885,0.0044497484341263,0.0009048685775724,0.0060421768575906,0.0321097158454358,0.0319717787206172,0.0024787130503148,0.0355260524898767,0.7204909220816174,0.7194100288417571,0.016911505582113,0.740598727384928,0.0101922941911551,0.009683019015938,0.0027348769770952,0.014421568531543,0.0614721059799194,0.0609380230307579,0.0076512596578671,0.0709560737013817,0.7227107360529961,0.7282475486405473,0.0300368695926967,0.7553972546674098,0.1449391841888427,0.117378830909729,0.1208989098363591,0.3458517789840699,0.0379344993446268,0.0261572788394568,0.0352030094652651,0.1092360214753446,2.1779499415678067,1.4142135623730951,3.684936400298791,4.123105625617661,2.1779499415678067,1.4142135623730951,3.684936400298791,4.123105625617661,0.8534581710234593,0.8652788369639572,0.0554609676254707,0.9186437929578828,0.8396648385667252,0.8460964706968915,0.0639456370639389,0.9178994369873918,best.pth,153
100,10,90,0.0093383030313998,0.007328025298193,0.0063035143033487,0.0112667753361166,0.0420309046283364,0.0396255049854517,0.0083673846736827,0.0460799831897021,0.6591991263295616,0.6593132688116176,0.0182625928536952,0.6827656999886706,0.0176236306834552,0.0161104351282119,0.0047515972038608,0.0247471805661916,0.0836378109537892,0.0811534039676189,0.0109777194653893,0.0999575965106487,0.5974366572745289,0.6031226053320933,0.0337575750207954,0.6358078556772684,0.3913810544543796,0.406583309173584,0.2524261889744171,0.7304896354675294,0.0907634460855098,0.0932698130319715,0.0531942166360466,0.1629635158952311,3.361926124027657,2.914213562373095,3.631300266498112,6.164414002968976,3.361926124027657,2.914213562373095,3.631300266498112,6.164414002968976,0.7803907668800439,0.7858402329779413,0.0635978135600463,0.8526737126290612,0.7707632114207551,0.7849469320419242,0.0849731632173143,0.8620722187064724,epoch_010.pth,10
100,10,90,0.0081159815378487,0.0070007306057959,0.0039117388618897,0.0092243968509138,0.0395598985254764,0.0388752147555351,0.0056379671893049,0.0430288385599852,0.6811910483778657,0.6770220103730376,0.0228746128112895,0.7074026752319295,0.0159695589707957,0.0146494982764124,0.0036661000939277,0.0206891652196645,0.0787887646092308,0.0767594538629055,0.0083898881558235,0.089903637766838,0.6139230325547311,0.6159730420103662,0.02993199493699,0.6500607855987094,0.2172610521316528,0.2084207534790039,0.1433491797128387,0.3925175189971924,0.0557142606367167,0.0471518696281151,0.0416522905931675,0.1145869825742286,2.8192266931186,2.23606797749979,3.580311092555258,4.483179928995207,2.8192266931186,2.23606797749979,3.580311092555258,4.483179928995207,0.7717119482887888,0.7701966107170457,0.0684554340657459,0.8548439337450723,0.7296280841849724,0.7195296036862772,0.0991965084319342,0.8766265987789186,epoch_020.pth,20
100,10,90,0.006317450646311,0.0055875065736472,0.0025871711685254,0.0078253732528537,0.0358948906138539,0.0349990911781787,0.005067132052544,0.0399724293500185,0.7005584160996859,0.6970689323586747,0.0173093658968297,0.7250305352220081,0.0121579275828682,0.0113961468450725,0.0030608918524619,0.0163410192355513,0.0702772209213839,0.0683117806911468,0.0077461286913556,0.0805546604096889,0.6518881366301353,0.6543930513308387,0.0277727706213517,0.68705750404461,0.2899540636274549,0.2674295902252197,0.1778204423285437,0.5331301689147951,0.0684790406632994,0.0669272325628487,0.038296149035197,0.1182905536547186,2.3252706603701445,1.7320508075688772,3.870659536165729,4.276634187902944,2.3252706603701445,1.7320508075688772,3.870659536165729,4.276634187902944,0.8183583552661007,0.8195770097241099,0.0523951083215822,0.8871599617106232,0.790356535528598,0.7906840754261603,0.0703688013371793,0.8832630815949684,epoch_030.pth,30
100,10,90,0.0063594982214272,0.0057012704201042,0.0023932284459861,0.0075486654415726,0.0363315120898187,0.0356868598610162,0.0039590110341966,0.0394615165889263,0.6896143587581716,0.6845365633696984,0.0249662542883919,0.7200070682761243,0.0128406391530815,0.012472340837121,0.0031968111742541,0.0176956949755549,0.0696782278931803,0.0687172971665859,0.0081742868960971,0.0806605108082294,0.6693309015680968,0.6741452407520314,0.0331608598616858,0.7074689098655156,0.2723015096452501,0.2762613296508789,0.1764913900448844,0.5246426105499268,0.0639148006746965,0.0647328168451475,0.0375789613430803,0.113248646884978,2.7183971728785545,2.23606797749979,3.668073234673802,4.483179928995207,2.7183971728785545,2.23606797749979,3.668073234673802,4.483179928995207,0.7741682528788854,0.7854754169246237,0.0672073854037286,0.8524833966684543,0.7392894458845877,0.7442312938584401,0.0889081658276546,0.8529586997306774,epoch_040.pth,40
100,10,90,0.0062975901830941,0.005559958750382,0.0025543649306653,0.0078865471296012,0.035942382030189,0.035219857469201,0.004198210597738,0.0392652090638876,0.6928634226824575,0.6867234443636592,0.0226493760762796,0.7243252678034475,0.0120905425761722,0.0113251623697578,0.0030351353884579,0.0162893364205956,0.0681035517818398,0.0665561705827713,0.0076910207789678,0.0784521237015724,0.6821052132473026,0.684208436815262,0.0300207362767769,0.7156457778102653,0.3473370763990614,0.3264065980911255,0.1929166062965534,0.5830546617507937,0.0827560374196698,0.0842429271328417,0.0411085364459011,0.1282950081198999,2.2597357252515198,1.7320508075688772,3.44709781423604,4.135059131767824,2.2597357252515198,1.7320508075688772,3.44709781423604,4.135059131767824,0.8197157304695041,0.8342430858742276,0.0566221517271758,0.8826251689670841,0.809057863186351,0.8182027221693442,0.0668261669914737,0.8947614460050104,epoch_050.pth,50
100,10,90,0.0056816325103864,0.0051134906243532,0.0019832154040593,0.0070367375854402,0.0335670106299221,0.0333420503884553,0.0034559759060642,0.0374848753213882,0.7135099855464135,0.7101065745080652,0.0233204098863627,0.7396604076512621,0.0110474676049004,0.0102435373701155,0.0030515580172517,0.0157011142000556,0.0641217851390441,0.0619197525084018,0.0082899413142018,0.0770348764955997,0.7081142953374336,0.7112578757805753,0.0315763978190135,0.7491704099046115,0.1751336044735378,0.1433290243148803,0.1323135110421974,0.3201446056365971,0.0423791489890409,0.0358758116502548,0.0309360007162392,0.0790749899083822,2.541554528051704,1.7320508075688772,3.6887894013628033,4.5933597014426,2.541554528051704,1.7320508075688772,3.6887894013628033,4.5933597014426,0.8280860167279674,0.8396440928342721,0.0586119711819251,0.8940585460349894,0.8016922763192906,0.8125135371054901,0.0744332092889469,0.893647033237309,epoch_060.pth,60
100,10,90,0.0056500325282104,0.0051584281027317,0.0018019963179361,0.0074044467881321,0.0338131467998027,0.0334380082786083,0.0033279532432314,0.0373310286551714,0.7076591877308992,0.7043656503898877,0.0245548754934393,0.7322225239834683,0.0111533128139045,0.0106350076384842,0.0028025464778521,0.0147064704447984,0.0655428943948613,0.064295470714569,0.0076079050350871,0.075261665135622,0.695725192163172,0.6994787909271312,0.0283667123506382,0.7335203211169065,0.1596164968278673,0.1461043357849121,0.1162957197897896,0.3379312753677369,0.0405867343860085,0.0349455167176115,0.0308746821937506,0.0882593244426951,2.373001419978425,1.4142135623730951,3.685101812961413,4.135059131767824,2.373001419978425,1.4142135623730951,3.685101812961413,4.135059131767824,0.8377813441087807,0.8510222909736451,0.0621112939059989,0.9061945960761352,0.8137297243966111,0.8291525832786694,0.0747556706668022,0.8931941683067299,epoch_070.pth,70
100,10,90,0.0054001487325876,0.0049790784250944,0.0015488724653334,0.0069239960517734,0.0332431289181113,0.0327855814248323,0.0028660220749686,0.0365483429282903,0.7141410542170579,0.7095905787879203,0.0239549400415552,0.7384147225651171,0.0106411279593076,0.0098848692141473,0.0030447067571787,0.01530969645828,0.0630516695479552,0.0618792977184057,0.0077436424659739,0.0744144700467586,0.712592431886737,0.7145475420735353,0.0285845559161076,0.7462012057492012,0.1943232165442572,0.1709287166595459,0.1454003767910129,0.385194730758667,0.0492998940904493,0.0422383052529404,0.0393537642853274,0.1065464464351071,2.3059203431905924,1.4142135623730951,3.4583969044396223,4.58257569495584,2.3059203431905924,1.4142135623730951,3.4583969044396223,4.58257569495584,0.8305215282144346,0.8410748992941015,0.0582300439593259,0.9033041922333376,0.8083044139397136,0.8224341856209672,0.070174372701625,0.8945325114434421,epoch_080.pth,80
100,10,90,0.0053972522891126,0.0048355846665799,0.0019322301796566,0.0069327906705439,0.0330984392389655,0.0325402244925498,0.0034262240621729,0.0369499240070581,0.7187379728838859,0.7139298939667582,0.021217427063655,0.7431870543133045,0.0104809391829702,0.0099126086570322,0.0027573490176486,0.0141859627328813,0.0632137771695852,0.0611657407134771,0.0079982452169036,0.0749381214380264,0.7124209826835443,0.7167771321148582,0.0320714721333945,0.7499667606231067,0.2098155445522732,0.1855146884918213,0.1281853031572161,0.4147257328033448,0.0506212894388996,0.0463006061652119,0.0292363972978059,0.0973835280275263,2.2378570537085016,1.4142135623730951,3.480548524211281,4.276634187902944,2.2378570537085016,1.4142135623730951,3.480548524211281,4.276634187902944,0.8411712779273417,0.8517871450148988,0.0493821852846462,0.8954986809880086,0.8295787493776541,0.832905232225905,0.0571634307989537,0.9052379655950322,epoch_090.pth,90
